Code,Name,LongName,Market,Sector,SubSector,Price,FiftyTwoWeek,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MarketCapInMillion
0307,KENERGY [s],KAWAN RENERGY BERHAD,Ace Market,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.425000,0.365-0.830,3,4.310000,1.250000,0.200000,9.870000,2.940000,21.540000,2.130000,233.750000
0339,CBHB [s],CBH ENGINEERING HOLDING BERHAD,Ace Market,Industrial Products & Services,Industrial Services,0.505000,0.200-0.645,26,2.550000,0.270000,0.120000,19.770000,0.530000,21.280000,4.210000,949.850000
0131,DFX [s],DIVFEX BERHAD,Ace Market,Technology,Digital Services,0.085000,0.080-0.125,600,1.270000,0.300000,0.060000,6.680000,3.530000,21.170000,1.410000,63.390000
3611,PGLOBE [s],PARAGON GLOBE BERHAD,Main Market,Property,Property,0.705000,0.565-0.805,4,12.430000,0.000000,0.590000,5.670000,0.000000,21.070000,1.190000,526.370000
0302,TOPMIX [s],TOPMIX BERHAD,Ace Market,Industrial Products & Services,Building Materials,0.490000,0.330-0.520,397,4.550000,1.000000,0.220000,10.770000,2.040000,20.680000,2.230000,192.990000
5318,DXN [s],DXN HOLDINGS BHD.,Main Market,Consumer Products & Services,Retailers,0.470000,0.460-0.550,5,5.890000,3.700000,0.290000,7.980000,7.870000,20.310000,1.620000,2342.950000
0198,GDB [s],GDB HOLDINGS BERHAD,Main Market,Construction,Construction,0.370000,0.265-0.515,385,5.260000,1.000000,0.260000,7.030000,2.700000,20.240000,1.420000,381.560000
0338,KOPI [s],ORIENTAL KOPI HOLDINGS BERHAD,Ace Market,Consumer Products & Services,Food & Beverages,1.060000,0.625-1.610,21,3.240000,1.000000,0.160000,32.760000,0.940000,20.220000,6.620000,2120.000000
0372,CHEEDING [s],CHEEDING HOLDINGS BERHAD,Ace Market,Construction,Construction,0.605000,0.585-0.960,28,4.270000,0.000000,0.160000,14.180000,0.000000,20.010000,3.780000,482.340000
0326,SORENTO [s],SORENTO CAPITAL BERHAD,Ace Market,Consumer Products & Services,Houshold Goods,0.645000,0.350-0.750,4,3.600000,1.000000,0.180000,17.940000,1.550000,19.970000,3.580000,554.700000
8311,PESONA [s],PESONA METRO HOLDINGS BHD,Main Market,Construction,Construction,0.330000,0.200-0.470,7,5.640000,1.400000,0.285000,5.850000,4.240000,19.810000,1.160000,229.350000
03052,RGS [s],RAY GO SOLAR HOLDINGS BERHAD,Leap Market,Industrial Products & Services,Industrial Services,0.170000,0.100-0.175,0,0.790000,0.000000,0.040000,21.540000,0.000000,19.740000,4.250000,43.350000
7212,DESTINI [s],DESTINI BERHAD,Main Market,Industrial Products & Services,Industrial Engineering,0.300000,0.270-0.510,1,5.490000,0.500000,0.280000,5.470000,1.670000,19.610000,1.070000,164.690000
3301,HLIND [s],HONG LEONG INDUSTRIES BERHAD,Main Market,Consumer Products & Services,Automotive,16.700000,12.360-19.300,406,154.980000,80.000000,7.920000,10.780000,4.790000,19.570000,2.110000,5475.990000
5335,HI [s],HI MOBILITY BERHAD,Main Market,Consumer Products & Services,"Travel, Leisure & Hospitality",1.980000,1.200-2.880,15,10.260000,3.000000,0.530000,19.290000,1.520000,19.370000,3.740000,990.000000
7252,TEOSENG [s],TEO SENG CAPITAL BHD,Main Market,Consumer Products & Services,Agricultural Products,0.915000,0.825-1.170,7,23.680000,4.750000,1.230000,3.860000,5.190000,19.250000,0.740000,549.010000
0290,PANDA [s],PANDA ECO SYSTEM BERHAD,Ace Market,Technology,Software,0.195000,0.185-0.325,3,1.340000,0.750000,0.070000,14.610000,3.850000,19.070000,2.790000,134.680000
7246,SIGN [s],SIGNATURE INTERNATIONAL BERHAD,Main Market,Consumer Products & Services,Houshold Goods,1.400000,1.260-1.470,0,12.990000,11.000000,0.690000,10.780000,7.860000,18.830000,2.030000,903.700000
0355,FIBRO [s],FIBROMAT (M) BERHAD,Ace Market,Industrial Products & Services,Industrial Services,0.800000,0.410-0.975,1,6.590000,0.000000,0.350000,12.150000,0.000000,18.820000,2.290000,198.620000
7230,TOMEI [s],TOMEI CONSOLIDATED BERHAD,Main Market,Consumer Products & Services,Retailers,1.890000,1.560-2.140,418,77.090000,4.000000,4.100000,2.450000,2.120000,18.800000,0.460000,261.950000
1562,SPTOTO,SPORTS TOTO BERHAD,Main Market,Consumer Products & Services,"Travel, Leisure & Hospitality",1.280000,1.280-1.550,4,15.780000,8.000000,0.840000,8.110000,6.250000,18.790000,1.520000,1729.320000
0263,BETA [s],BETAMEK BERHAD,Ace Market,Industrial Products & Services,Auto Parts,0.555000,0.355-0.590,4,6.550000,5.250000,0.350000,8.470000,9.460000,18.720000,1.590000,252.290000
7161,KERJAYA [s],KERJAYA PROSPEK GROUP BERHAD,Main Market,Construction,Construction,2.370000,1.800-2.920,4,17.730000,15.000000,0.960000,13.370000,6.330000,18.470000,2.470000,3003.280000
5309,ITMAX [s],ITMAX SYSTEM BERHAD,Main Market,Technology,Digital Services,4.830000,3.160-5.220,10,9.030000,2.300000,0.490000,53.490000,0.480000,18.430000,9.860000,5003.200000
5681,PETDAG [s],PETRONAS DAGANGAN BHD,Main Market,Consumer Products & Services,Retailers,22.000000,17.000-23.800,10,110.640000,112.000000,6.010000,19.880000,5.090000,18.410000,3.660000,21855.990000
